id,conversation_id,analysis_date,sentiment_score,sentiment_shift,resolution_achieved,fcr_score,ces,first_response_time,avg_response_time,total_handling_time,effectiveness_score,effort_score,efficiency_score,empathy_score,csi_score
1,1,2025-08-18,4.0,8.0,10.0,10.0,5.0,2.0,168.5,0.833,10.0,3.333333333333333,9.662972222222225,8.5,8.02
2,1,2025-08-22,3.0,6.0,10.0,10.0,6.0,164.0,82.0,0.75,10.0,1.6666666666666665,9.675462962962962,7.0,7.39
3,2,2025-08-19,2.0,0.0,8.0,8.0,6.0,146.0,146.0,0.083,8.0,1.6666666666666665,9.592138888888888,3.5,6.14
4,2,2025-08-20,2.0,0.0,8.0,8.0,6.0,11.0,11.0,0.083,8.0,1.6666666666666665,9.96713888888889,3.5,6.23
5,2,2025-08-22,2.0,0.0,10.0,10.0,7.0,69.0,69.0,0.167,10.0,0.0,9.803694444444444,3.5,6.48
6,3,2025-08-18,2.0,0.0,10.0,10.0,7.0,17.0,17.0,0.083,10.0,0.0,9.950472222222222,3.5,6.51
7,4,2025-08-17,3.0,8.0,10.0,10.0,5.0,143.0,71.5,1.0,10.0,3.333333333333333,9.707407407407407,8.0,7.96
8,4,2025-08-19,3.0,8.0,10.0,10.0,6.0,143.0,143.0,0.25,10.0,1.6666666666666665,9.595833333333333,8.0,7.52
9,5,2025-08-17,1.0,0.0,6.0,6.0,4.0,217.0,217.0,0.333,6.0,5.0,9.387972222222222,3.0,6.15
10,6,2025-08-18,2.0,0.0,10.0,10.0,6.0,9.0,9.0,0.283,10.0,1.6666666666666665,9.96713888888889,3.5,6.93
11,6,2025-08-21,2.0,0.0,10.0,10.0,7.0,10.0,10.0,0.167,10.0,0.0,9.967583333333332,3.5,6.52
12,7,2025-08-20,2.0,0.0,10.0,10.0,7.0,15.0,15.0,0.083,10.0,0.0,9.956027777777777,3.5,6.51
13,8,2025-08-17,1.0,0.0,8.0,8.0,4.0,442.0,147.33,0.6,8.0,5.0,9.30124074074074,3.0,6.83
14,9,2025-08-18,3.0,0.0,8.0,8.0,6.0,9.0,9.0,0.083,8.0,1.6666666666666665,9.972694444444445,4.0,6.31
15,9,2025-08-20,3.0,0.0,8.0,8.0,6.0,306.0,153.0,0.333,8.0,1.6666666666666665,9.424083333333334,4.0,6.17
16,9,2025-08-21,2.0,0.0,8.0,8.0,6.0,46.0,46.0,0.083,8.0,1.6666666666666665,9.869916666666667,3.5,6.21
17,10,2025-08-18,1.0,0.0,6.0,6.0,3.0,31.0,20.67,0.5,6.0,6.666666666666666,9.91912962962963,3.0,6.7
18,11,2025-08-20,2.0,0.0,6.0,6.0,4.0,118.0,118.0,0.167,6.0,5.0,9.667583333333333,3.5,6.29
19,12,2025-08-21,2.0,0.0,10.0,10.0,6.0,44.0,44.0,0.083,10.0,1.6666666666666665,9.875472222222221,3.5,6.91
20,13,2025-08-21,2.0,0.0,6.0,6.0,4.0,14.0,14.0,0.25,6.0,5.0,9.954166666666666,3.5,6.36
21,14,2025-08-19,2.0,0.0,0.0,0.0,1.0,,,,0.0,10.0,,3.5,
22,14,2025-08-20,10.0,8.0,1.0,1.0,7.0,,,,1.0,0.0,,11.5,
23,15,2025-08-18,3.0,0.0,0.0,0.0,2.0,6.0,3.0,0.1,0.0,8.333333333333334,9.98611111111111,4.0,5.18
24,16,2025-08-19,3.0,5.0,0.0,0.0,5.0,14.0,7.0,0.23,0.0,3.333333333333333,9.967685185185184,6.5,4.3
25,17,2025-08-21,5.0,0.0,1.0,1.0,6.0,20.0,20.0,0.33,1.0,1.6666666666666665,9.93527777777778,5.0,4.0
26,18,2025-08-18,4.0,4.0,1.0,1.0,6.0,11.0,11.0,0.18,1.0,1.6666666666666665,9.964444444444446,6.5,4.23
27,19,2025-08-17,2.0,2.0,0.0,0.0,4.0,70.0,35.0,1.17,0.0,5.0,9.83787037037037,4.5,4.38
28,20,2025-08-19,1.0,5.0,0.0,0.0,4.0,218.0,218.0,3.63,0.0,5.0,9.29361111111111,5.5,4.4
