id,conversation_id,analysis_date,sentiment_score,sentiment_shift,resolution_achieved,fcr_score,ces,first_response_time,avg_response_time,total_handling_time,effectiveness_score,effort_score,efficiency_score,empathy_score,csi_score
1,1,2025-08-12,1.0,4.0,6.0,7.0,4.0,372.0,169.5,140.0,6.5,5.0,6.008333333333333,5.0,5.78
2,1,2025-08-13,1.0,4.0,6.0,7.0,3.0,47.0,226.5,100.0,6.5,6.666666666666666,6.7592592592592595,5.0,6.38
3,2,2025-08-11,2.0,3.0,7.0,8.0,4.0,73.0,147.0,240.0,7.5,5.0,6.326851851851852,5.0,6.21
4,2,2025-08-13,3.0,2.0,7.0,10.0,6.0,67.0,268.25,20.0,8.5,1.6666666666666665,8.88564814814815,5.0,6.36
5,3,2025-08-13,2.0,3.0,8.0,10.0,5.0,608.0,232.83,55.0,9.0,3.333333333333333,7.478092592592592,5.0,6.6
6,4,2025-08-13,2.0,3.0,7.0,10.0,6.0,145.0,,12.0,8.5,1.6666666666666665,9.29861111111111,5.0,6.47
7,5,2025-08-10,7.0,0.0,10.0,10.0,7.0,67.0,,6.0,10.0,0.0,9.656944444444445,6.0,6.81
8,5,2025-08-13,1.0,2.0,4.0,6.0,3.0,213.0,164.0,98.0,5.0,6.666666666666666,6.776851851851851,4.0,5.71
9,6,2025-08-11,2.0,3.0,7.0,10.0,6.0,149.0,,15.0,8.5,1.6666666666666665,9.168055555555554,5.0,6.43
10,6,2025-08-12,2.0,2.0,7.0,9.0,5.0,259.0,165.0,72.0,8.0,3.333333333333333,7.454629629629629,4.5,6.17
11,6,2025-08-13,2.0,0.0,0.0,0.0,1.0,,,,0.0,10.0,,3.5,
12,7,2025-08-13,2.0,0.0,0.0,0.0,5.0,68.0,,1.0,0.0,3.333333333333333,9.86388888888889,3.5,3.82
13,8,2025-08-12,2.0,3.0,5.0,6.0,4.0,187.0,140.0,50.0,5.5,5.0,8.178703703703704,5.0,5.97
14,8,2025-08-13,3.0,0.0,7.0,10.0,7.0,,,,8.5,0.0,,4.0,
15,9,2025-08-13,2.0,3.0,6.0,8.0,5.0,153.0,,16.0,7.0,3.333333333333333,9.120833333333334,5.0,6.31
