id,conversation_id,analysis_date,sentiment_score,sentiment_shift,resolution_achieved,fcr_score,ces,first_response_time,avg_response_time,total_handling_time,effectiveness_score,effort_score,efficiency_score,empathy_score,csi_score
1,1,2025-08-12,3.0,2.0,0.0,0.0,3.0,1.84,3.08,18.33,0.0,6.666666666666666,9.483425925925927,5.0,4.79
2,1,2025-08-13,2.0,-2.0,0.0,0.0,2.0,3.53,3.73,9.96,0.0,8.333333333333334,9.713157407407408,2.5,4.89
3,2,2025-08-11,3.0,0.0,0.0,0.0,4.0,12.53,9.27,4.23,0.0,5.0,9.853731481481482,4.0,4.31
4,2,2025-08-13,3.0,0.0,0.0,0.0,5.0,6.93,6.27,5.61,0.0,3.333333333333333,9.82613888888889,4.0,3.89
5,3,2025-08-13,3.0,1.0,0.0,0.0,3.0,10.77,8.07,9.32,0.0,6.666666666666666,9.716194444444444,4.5,4.77
6,4,2025-08-13,4.0,0.0,0.0,0.0,5.0,22.67,22.67,0.38,0.0,3.333333333333333,9.926472222222223,4.5,3.99
7,5,2025-08-10,10.0,0.0,10.0,10.0,7.0,6.62,6.62,0.11,10.0,0.0,9.978555555555557,7.5,7.12
8,5,2025-08-13,2.0,-3.0,0.0,0.0,3.0,10.71,10.86,2.47,0.0,6.666666666666666,9.901361111111113,2.0,4.44
9,6,2025-08-11,4.0,0.0,0.0,0.0,6.0,23.46,23.46,0.39,0.0,1.6666666666666665,9.924000000000001,4.5,3.57
10,6,2025-08-12,6.0,2.0,10.0,10.0,5.0,24.87,15.82,12.34,10.0,3.333333333333333,9.604898148148148,6.5,7.71
11,6,2025-08-13,4.0,0.0,0.0,0.0,,,,,0.0,,,4.5,
12,7,2025-08-13,4.0,0.0,0.0,0.0,6.0,0.99,0.99,0.02,0.0,1.6666666666666665,9.996694444444444,4.5,3.59
13,8,2025-08-12,2.0,0.0,0.0,0.0,4.0,18.57,17.71,3.51,0.0,5.0,9.852509259259259,3.5,4.24
14,8,2025-08-13,,,10.0,10.0,7.0,,,,10.0,0.0,,,
15,9,2025-08-13,4.0,0.0,0.0,0.0,4.0,13.02,13.02,0.22,0.0,5.0,9.957722222222221,4.5,4.41
16,10,2025-08-13,6.0,2.0,10.0,10.0,7.0,1.01,1.01,1.59,10.0,0.0,9.953027777777777,6.5,6.96
17,11,2025-08-13,3.0,2.0,0.0,0.0,4.0,6.88,6.73,6.23,0.0,5.0,9.808111111111112,5.0,4.45
18,12,2025-08-13,6.0,0.0,0.0,0.0,6.0,17.61,17.61,0.29,0.0,1.6666666666666665,9.943027777777777,5.5,3.73
19,13,2025-08-13,4.0,2.0,10.0,10.0,6.0,7.01,7.01,0.12,10.0,1.6666666666666665,9.977194444444445,5.5,7.24
20,14,2025-08-13,4.0,0.0,0.0,0.0,7.0,7.22,7.22,0.12,0.0,0.0,9.976611111111112,4.5,3.17
21,15,2025-08-09,2.0,0.0,0.0,0.0,3.0,248.0,248.0,6.0,0.0,6.666666666666666,9.144444444444444,3.5,4.48
22,15,2025-08-11,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.333333333333334,10.0,3.5,5.11
23,15,2025-08-12,3.0,1.0,0.0,0.0,3.0,0.0,79.0,119.0,0.0,6.666666666666666,6.548148148148147,4.5,3.98
24,15,2025-08-13,4.0,-1.0,0.0,0.0,2.0,137.0,100.0,20.0,0.0,8.333333333333334,9.132407407407408,4.0,4.97
25,16,2025-08-12,3.0,1.0,0.0,0.0,4.0,33.0,80.0,111.0,0.0,5.0,6.737962962962963,4.5,3.61
26,16,2025-08-13,3.0,0.0,0.0,0.0,2.0,0.0,49.0,4.0,0.0,8.333333333333334,9.79814814814815,4.0,5.13
27,17,2025-08-13,1.0,6.0,10.0,10.0,5.0,69.0,60.0,19.0,10.0,3.333333333333333,9.297222222222222,6.0,7.56
28,18,2025-08-13,4.0,0.0,0.0,0.0,3.0,1347.0,449.0,134.0,0.0,6.666666666666666,4.587962962962963,4.5,3.49
29,19,2025-08-12,2.0,0.0,0.0,0.0,4.0,271.0,271.0,26.0,0.0,5.0,8.525,3.5,3.91
